id,age,gender,edu_level,race,family_status,ratio_to_poverty,lang_interview
109597,70,Female,5,Missing,Living with Partner,3.68,English
109598,25,Male,4,White,Other,4,English
109599,5,Female,NA,White,NA,5,English
109601,30,Male,5,White,Other,NA,English
109602,43,Female,1,Other Hispanic,Other,NA,Spanish
109604,10,Male,NA,Mexican American,NA,4.78,English
109605,0,Female,NA,White,NA,0.85,English
109606,32,Female,3,Black,Other,1.18,English
109607,63,Male,2,Mexican American,Living with Partner,1.94,English
109608,54,Female,4,White,Living with Partner,5,English
109609,6,Female,NA,Black,NA,3.31,English
109610,78,Male,1,Black,Other,NA,English
109611,55,Male,3,Black,Other,0,English
109612,75,Male,3,Black,Other,NA,English
109613,16,Male,NA,White,NA,1.02,English
109615,65,Female,5,Black,Other,5,English
109616,8,Male,NA,Black,NA,5,English
109617,64,Male,1,Mexican American,Living with Partner,NA,Spanish
109618,4,Female,NA,Missing,NA,5,English
109619,0,Male,NA,White,NA,1.37,English
109620,59,Female,2,Other Hispanic,Other,1.59,Spanish
109623,31,Female,5,Other,Living with Partner,5,English
109624,8,Female,NA,White,NA,1.22,English
109625,10,Male,NA,Missing,NA,1.73,English
109626,61,Male,5,Other Hispanic,Living with Partner,1.18,Spanish
109628,39,Female,2,Other Hispanic,Other,0.7,Spanish
109629,40,Male,3,Black,Other,1.51,English
109630,56,Female,3,White,Other,2.16,English
109632,17,Male,NA,White,NA,1.81,English
109633,4,Female,NA,Other Hispanic,NA,3.88,English
109634,62,Female,4,Mexican American,Living with Partner,0.73,Spanish
109635,40,Female,3,Mexican American,Living with Partner,NA,Spanish
109636,4,Female,NA,White,NA,0.71,English
109637,46,Female,4,Black,Living with Partner,3.08,English
109638,48,Female,2,White,Living with Partner,3.03,English
109639,42,Female,4,White,Living with Partner,NA,English
109640,50,Female,5,Other,Living with Partner,4.62,English
109641,14,Male,NA,Missing,NA,2.23,English
109642,8,Male,NA,Black,NA,0.4,English
109644,24,Male,1,Other Hispanic,Living with Partner,0.16,Spanish
109645,62,Female,3,Other Hispanic,Other,0.68,English
109646,8,Male,NA,Black,NA,1.58,English
109647,0,Female,NA,Missing,NA,1.54,English
109648,1,Female,NA,Black,NA,0.8,English
109651,0,Female,NA,White,NA,0.87,English
109652,76,Female,3,White,Other,0.84,English
109654,18,Male,NA,Other,NA,NA,English
109655,42,Female,9,Mexican American,Living with Partner,NA,Spanish
109656,60,Female,4,Mexican American,Living with Partner,4.25,English
109657,33,Female,4,White,Living with Partner,5,English
109658,10,Male,NA,Mexican American,NA,1.59,English
109659,4,Female,NA,Mexican American,NA,1.14,Spanish
109660,2,Female,NA,Other,NA,4.66,English
109661,23,Male,5,White,Living with Partner,3.37,English
109662,32,Male,2,Other Hispanic,Other,NA,Spanish
109664,22,Male,4,Black,Other,3.25,English
109665,42,Female,2,White,Living with Partner,2.66,English
109666,70,Female,3,Black,Other,0.83,English
109667,64,Male,1,Mexican American,Living with Partner,2.96,Spanish
109669,59,Male,2,Black,Other,0.96,English
109670,0,Female,NA,Other Hispanic,NA,0.81,English
109671,5,Male,NA,White,NA,3.98,English
109672,2,Male,NA,White,NA,5,English
109673,34,Male,3,Mexican American,Other,NA,English
109674,4,Female,NA,Missing,NA,0.5,English
109675,51,Female,5,Other,Living with Partner,5,English
109676,64,Female,3,White,Living with Partner,2.57,English
109677,76,Female,1,Other Hispanic,Other,4.06,Spanish
109678,32,Female,4,White,Other,1,English
109679,28,Male,3,Missing,Other,0.49,English
109680,0,Female,NA,White,NA,4.55,English
109681,10,Female,NA,Black,NA,NA,English
109682,17,Male,NA,Missing,NA,1.47,English
109683,29,Female,3,White,Living with Partner,0.81,English
109684,9,Male,NA,Mexican American,NA,1.22,English
109685,38,Male,5,Other,Living with Partner,3.86,English
109686,60,Male,3,Other,Living with Partner,0.7,English
109687,37,Female,4,White,Living with Partner,3.21,English
109688,4,Female,NA,White,NA,5,English
109689,14,Female,NA,Black,NA,1.17,English
109690,3,Male,NA,Other,NA,4.17,English
109691,26,Female,4,Other,Living with Partner,2.86,English
109692,16,Female,NA,Other,NA,4.81,English
109693,25,Female,4,Mexican American,Living with Partner,1,Spanish
109695,3,Male,NA,Missing,NA,4.08,English
109696,79,Female,5,White,Living with Partner,NA,English
109697,35,Female,4,Mexican American,Other,1.7,English
109698,16,Female,NA,White,NA,1.81,English
109699,3,Female,NA,Black,NA,0.51,English
109700,42,Female,5,Other Hispanic,Living with Partner,2.65,English
109702,15,Female,NA,Black,NA,4.27,English
109703,34,Male,5,Black,Living with Partner,2.53,English
109704,31,Male,4,Other,Living with Partner,3.55,English
109705,38,Male,3,Black,Other,0.73,English
109706,12,Male,NA,White,NA,1.49,English
109707,15,Female,NA,Other,NA,0.83,English
109708,1,Male,NA,Black,NA,0.64,English
109709,52,Male,4,Mexican American,Other,5,English
109710,12,Male,NA,White,NA,1.83,English
109711,25,Male,2,Mexican American,Living with Partner,1.22,English
109712,46,Male,3,Black,Living with Partner,NA,English
109713,50,Female,1,Other,Living with Partner,3.75,English
109714,30,Male,4,Other,Living with Partner,5,English
109715,9,Male,NA,Black,NA,0,English
109716,25,Female,2,Black,Other,0.26,English
109717,7,Male,NA,Black,NA,0.8,English
109718,7,Female,NA,White,NA,2.73,English
109719,3,Female,NA,White,NA,5,English
109720,4,Female,NA,Mexican American,NA,0.04,Spanish
109721,50,Male,2,Other Hispanic,Other,NA,English
109723,29,Male,5,Black,Living with Partner,2.74,English
109724,4,Female,NA,White,NA,0.25,English
109725,62,Female,1,Mexican American,Living with Partner,NA,Spanish
109726,20,Male,4,Black,Other,4.61,English
109727,42,Female,3,White,Other,NA,English
109728,34,Female,1,White,Other,0.89,English
109729,15,Female,NA,White,NA,1.98,English
109730,29,Female,4,Black,Other,0.61,English
109731,21,Female,3,Other Hispanic,Other,0.41,Spanish
109733,7,Male,NA,Black,NA,2.14,English
109734,3,Male,NA,Black,NA,1.54,English
109735,33,Male,1,Other,Living with Partner,1.41,English
109736,0,Male,NA,Mexican American,NA,NA,English
109737,2,Male,NA,Other Hispanic,NA,2.56,English
109738,2,Female,NA,Black,NA,NA,English
109740,46,Male,3,Black,Other,1.2,English
109741,6,Female,NA,Missing,NA,1.43,English
109743,56,Male,3,Black,Living with Partner,3.18,English
