iso,year,cell
CZE,2008,132.779
CZE,2009,125.349
CZE,2010,123.605
CZE,2011,125.46
CZE,2012,128.69
CZE,2013,130.521
CZE,2014,132.289
CZE,2015,118.34
CZE,2016,118.544
CZE,2017,119.874
CZE,2018,120.432
CZE,2019,124.126
CZE,2020,123.219
CZE,2021,126.173
CZE,2022,128.105
DEU,2003,78.917
DEU,2004,86.8798
DEU,2005,96.6169
DEU,2006,104.835
DEU,2007,118.37
DEU,2008,130.097
DEU,2009,129.733
DEU,2010,109.364
DEU,2011,112.419
DEU,2012,114.192
DEU,2013,123.435
DEU,2014,122.309
DEU,2015,117.401
DEU,2016,125.024
DEU,2017,132.003
DEU,2018,128.946
DEU,2019,128.292
DEU,2020,128.425
DEU,2021,127.125
DEU,2022,124.158
DJI,2003,2.82722
DJI,2004,4.17395
DJI,2005,5.24961
DJI,2006,5.23707
DJI,2007,7.9516
DJI,2008,12.6407
DJI,2009,14.1275
DJI,2010,17.803
DJI,2011,20.3518
DJI,2012,21.9776
DJI,2013,24.7885
DJI,2014,28.6271
DJI,2015,30.8092
DJI,2016,33.2718
DJI,2017,35.3657
DJI,2018,36.8545
DJI,2019,38.0144
DJI,2020,39.2725
DJI,2021,43.6424
DJI,2022,46.7771
DMA,2003,34.7084
DMA,2004,60.9448
DMA,2005,75.654
DMA,2006,103.915
DMA,2007,129.272
DMA,2008,132.164
DMA,2009,143.036
DMA,2010,153.309
DMA,2011,157.74
DMA,2012,158.135
DMA,2013,134.225
DMA,2014,104.992
DMA,2015,109.72
DMA,2016,112.697
DMA,2017,109.831
DMA,2018,112.682
DMA,2019,115.103
DMA,2020,110.409
DMA,2021,92.5136
DMA,2022,85.1899
DNK,2003,88.4332
DNK,2004,95.6022
DNK,2005,100.547
DNK,2006,107.186
DNK,2007,115.497
DNK,2008,119.353
DNK,2009,123.727
DNK,2010,115.734
DNK,2011,128.763
DNK,2012,130.416
DNK,2013,125.213
DNK,2014,126.869
DNK,2015,124.554
DNK,2016,121.941
DNK,2017,123.862
DNK,2018,124.55
DNK,2019,124.573
DNK,2020,124.37
DNK,2021,125.604
DNK,2022,126.484
DOM,2003,23.2936
DOM,2004,27.8319
DOM,2005,39.2767
DOM,2006,49.3049
DOM,2007,58.3022
DOM,2008,75.32
DOM,2009,89.0106
DOM,2010,90.5563
DOM,2011,88.1874
DOM,2012,88.7173
DOM,2013,90.2547
DOM,2014,80.4955
DOM,2015,84.3066
DOM,2016,82.5303
DOM,2017,82.2092
DOM,2018,82.8937
DOM,2019,82.1376
DOM,2020,81.6619
DOM,2021,87.5208
DOM,2022,90.376
DZA,2003,4.49694
DZA,2004,14.9637
DZA,2005,41.2614
DZA,2006,62.4502
DZA,2007,80.6177
DZA,2008,77.6388
DZA,2009,92.2215
DZA,2010,90.5824
DZA,2011,96.5113
DZA,2012,99.6853
DZA,2013,102.871
DZA,2014,110.44
DZA,2015,108.016
DZA,2016,115.154
DZA,2017,109.97
DZA,2018,110.938
DZA,2019,104.922
DZA,2020,103.437
DZA,2021,105.037
DZA,2022,107.787
ECU,2003,17.9338
ECU,2004,26.0434
ECU,2005,45.1124
ECU,2006,60.2369
ECU,2007,69.3707
ECU,2008,80.1668
ECU,2009,89.3147
ECU,2010,98.0369
ECU,2011,100.042
ECU,2012,105.68
ECU,2013,105.182
ECU,2014,103.559
ECU,2015,79.5746
ECU,2016,84.1088
ECU,2017,87.4214
ECU,2018,92.5118
ECU,2019,91.4249
ECU,2020,88.2555
ECU,2021,94.9506
ECU,2022,98.1309
EGY,2003,7.44671
EGY,2004,9.61664
EGY,2005,16.8057
EGY,2006,21.7666
EGY,2007,35.7084
EGY,2008,48.0833
EGY,2009,63.2585
EGY,2010,79.2199
EGY,2011,91.5823
EGY,2012,103.905
EGY,2013,104.585
EGY,2014,97.7313
EGY,2015,94.3962
EGY,2016,96.2092
EGY,2017,99.2884
EGY,2018,88.7421
EGY,2019,88.6448
EGY,2020,87.2317
EGY,2021,84.0866
EGY,2022,90.6795
ESP,2003,87.5626
ESP,2004,89.3326
ESP,2005,97.1228
ESP,2006,102.236
ESP,2007,106.384
ESP,2008,107.328
ESP,2009,109.472
ESP,2010,109.712
ESP,2011,111.899
ESP,2012,107.756
ESP,2013,107.039
ESP,2014,108.746
ESP,2015,109.391
ESP,2016,110.247
ESP,2017,112.03
ESP,2018,115.009
ESP,2019,116.696
ESP,2020,116.712
ESP,2021,119.0
ESP,2022,123.4
EST,2003,76.6124
EST,2004,92.1518
EST,2005,106.676
EST,2006,123.151
EST,2007,125.445
EST,2008,121.494
EST,2009,117.685
EST,2010,124.136
EST,2011,136.065
EST,2012,151.197
EST,2013,146.247
EST,2014,144.361
EST,2015,144.803
EST,2016,144.235
EST,2017,144.557
EST,2018,145.543
EST,2019,147.047
EST,2020,144.832
EST,2021,148.74
EST,2022,152.271
FIN,2003,91.064
FIN,2004,95.4066
FIN,2005,100.456
FIN,2006,107.667
FIN,2007,114.962
FIN,2008,128.543
FIN,2009,144.226
FIN,2010,156.432
FIN,2011,165.917
FIN,2012,172.147
FIN,2013,136.259
FIN,2014,139.199
FIN,2015,134.974
FIN,2016,131.383
FIN,2017,129.983
FIN,2018,129.629
FIN,2019,129.488
FIN,2020,128.761
FIN,2021,129.036
FIN,2022,128.023
FJI,2003,12.6843
FJI,2004,16.2621
FJI,2005,23.2326
FJI,2006,31.9713
FJI,2007,59.0364
FJI,2008,66.4158
FJI,2009,70.5437
FJI,2010,76.6592
FJI,2011,79.6286
FJI,2012,93.8673
FJI,2013,101.534
FJI,2014,95.4872
FJI,2015,105.157
FJI,2016,113.656
FJI,2017,112.534
FJI,2018,110.665
FJI,2019,112.581
FJI,2020,108.365
FJI,2021,108.158
FJI,2022,111.749
FRA,2003,68.6553
FRA,2004,72.8138
FRA,2005,78.0332
FRA,2006,83.2589
FRA,2007,88.6688
FRA,2008,92.3412
FRA,2009,91.7782
FRA,2010,91.1186
FRA,2011,93.8529
FRA,2012,97.1925
FRA,2013,98.3479
FRA,2014,101.132
FRA,2015,102.718
FRA,2016,103.817
FRA,2017,105.718
FRA,2018,107.482
FRA,2019,109.601
FRA,2020,110.387
FRA,2021,113.953
FRA,2022,115.951
GAB,2003,21.7022
GAB,2004,34.4235
GAB,2005,50.3377
GAB,2006,59.5349
GAB,2007,75.1171
GAB,2008,80.8873
GAB,2009,87.2676
GAB,2010,93.6112
GAB,2011,133.01
GAB,2012,138.488
GAB,2013,143.499
GAB,2014,148.238
GAB,2015,138.244
GAB,2016,141.05
GAB,2017,123.475
GAB,2018,132.465
GAB,2019,131.975
GAB,2020,131.302
GAB,2021,132.309
GAB,2022,123.233
GBR,2003,90.6985
GBR,2004,99.1988
GBR,2005,108.046
GBR,2006,114.786
GBR,2007,119.989
GBR,2008,120.819
GBR,2009,122.357
GBR,2010,121.781
GBR,2011,121.498
GBR,2012,122.465
GBR,2013,122.185
GBR,2014,120.958
GBR,2015,121.212
GBR,2016,119.787
GBR,2017,119.207
GBR,2018,118.184
GBR,2019,120.25
GBR,2020,117.305
GBR,2021,117.887
GBR,2022,119.834
GEO,2003,17.4086
GEO,2004,20.7256
GEO,2005,29.1672
GEO,2006,42.6335
GEO,2007,65.5238
GEO,2008,69.9049
GEO,2009,72.392
GEO,2010,102.113
GEO,2011,114.517
GEO,2012,122.384
GEO,2013,131.083
GEO,2014,142.391
GEO,2015,146.396
GEO,2016,145.881
GEO,2017,145.072
GEO,2018,143.858
