imdb_id,title,year,language,genre,director,writer,country,imdb_votes,rating_imdb,rating_rt,rating_mc,runtime_raw,wikipedia_pageid,wikipedia_description,wikipedia_extract,budget_raw,box_office_raw
tt0074486,Eraserhead,1977,English,Fantasy|Horror,David Lynch,David Lynch,United States,138800,7.3,87,87,89,36814246,1977 film by David Lynch,"Eraserhead is a 1977 American independent surrealist body horror film written, directed, produced, and edited by David Lynch. Lynch also created its score and sound design, which included pieces by a variety of other musicians. Shot in black and white, it was Lynch's first feature-length effort following several short films. Starring Jack Nance, Charlotte Stewart, Jeanne Bates, Judith Anna Roberts, Laurel Near, and Jack Fisk, it tells the story of a man (Nance) who is left to care for his grossly deformed child in a desolate industrial landscape.",100000,7000000
tt0075404,The Ascent,1977,Russian|German,Drama|War,Larisa Shepitko,Vasiliy Bykov|Yuri Klepikov|Larisa Shepitko,Soviet Union,11540,8.2,100,,110,2439924,1977 film by Larisa Shepitko,"The Ascent is a 1977 Soviet drama film directed by Larisa Shepitko and made at Mosfilm. Shepitko and Yuri Klepikov's screenplay was adapted from the 1970 novel Sotnikov by Vasil Bykaŭ. The film was shot in black-and-white in January 1974 near Murom, Russia, in appalling winter conditions.",,
tt0075612,3 Women,1977,English,Drama|Mystery|Thriller,Robert Altman,Robert Altman|Patricia Resnick,United States,18891,7.7,83,82,111,2798805,1977 film by Robert Altman,"3 Women is a 1977 American psychological drama film written, produced and directed by Robert Altman and starring Shelley Duvall, Sissy Spacek and Janice Rule. Set in a dusty California desert town, it depicts the increasingly bizarre relationship between an adult woman (Duvall), her teenage roommate and co-worker (Spacek), and a middle-aged pregnant woman (Rule).",1700000,
tt0075654,Alambrista!,1977,Spanish|English,Adventure|Drama,Robert M. Young,Robert M. Young,United States,825,7.3,100,,110,34790748,1977 film by Robert M. Young,"Alambrista! is a 1977 film directed by Robert M. Young and starring Domingo Ambriz and Trinidad Silva. It won four awards in 1977. In 2023, the film was selected for preservation in the United States National Film Registry by the Library of Congress as being ""culturally, historically, or aesthetically significant"".",,
tt0075675,The American Friend,1977,German|English|French,Crime|Drama|Mystery,Wim Wenders,Patricia Highsmith|Wim Wenders,West Germany|France,20009,7.4,88,79,127,318772,1977 West German film,"The American Friend is a 1977 neo-noir film written and directed by Wim Wenders, adapted from the 1974 novel Ripley's Game by Patricia Highsmith. It stars Dennis Hopper as career-criminal Tom Ripley and Bruno Ganz as Jonathan Zimmermann, a terminally ill picture framer whom Ripley coaxes into becoming an assassin. The film uses an unusual ""natural"" language concept: Zimmermann speaks German with his family and his doctor, but English with Ripley and while visiting Paris.",3000000,
tt0075779,Tribute to the Teachers,1977,Persian,Short,Abbas Kiarostami,Abbas Kiarostami,Iran,128,6.5,,,,400421,Iranian filmmaker (1941–2016),"Abbas Kiarostami was an Iranian film director, screenwriter, poet, photographer, and film producer. An active filmmaker from 1970, Kiarostami had been involved in the production of over forty films, including shorts and documentaries. Kiarostami attained critical acclaim for directing the Koker trilogy (1987–1994), Close-Up (1990), The Wind Will Carry Us (1999), and Taste of Cherry (1997), which was awarded the Palme d'Or at the Cannes Film Festival that year. In later works, Certified Copy (2010) and Like Someone in Love (2012), he filmed for the first time outside Iran: in Italy and Japan, respectively. His films Where Is the Friend's House? (1987), Close-Up, and The Wind Will Carry Us were ranked among the 100 best foreign films in a 2018 critics' poll by BBC Culture. Close-Up was also ranked one of the 50 greatest movies of all time in the famous decennial Sight & Sound poll conducted in 2012.",,
tt0076085,A Special Day,1977,Italian,Drama,Ettore Scola,Ruggero Maccari|Ettore Scola|Maurizio Costanzo,Italy|Canada,17571,8.1,100,,105,163500,1977 film by Ettore Scola,"A Special Day is a 1977 period drama film directed and co-written by Ettore Scola, produced by Carlo Ponti, and starring Sophia Loren and Marcello Mastroianni. Set in Rome in 1938, its narrative follows a housewife (Loren) and her neighbor (Mastroianni) who stay home the day Adolf Hitler visits Benito Mussolini.",,
tt0076162,House,1977,Japanese,Comedy|Horror,Nobuhiko Ôbayashi,Chiho Katsura|Chigumi Ôbayashi,Japan,36764,7.2,90,75,88,20286230,1977 film by Nobuhiko Ōbayashi,"House  is a 1977 Japanese comedy horror film directed and produced by Nobuhiko Obayashi. It is about a schoolgirl traveling with her six friends to her ailing aunt's country home, where they come face to face with supernatural events as the girls are, one by one, devoured by the home. It stars mostly amateur actors, with only Kimiko Ikegami and Yōko Minamida having any notable previous acting experience. The musical score was performed by the rock band Godiego.",,
tt0076221,Jabberwocky,1977,English,Adventure|Comedy|Fantasy,Terry Gilliam,Lewis Carroll|Charles Alverson|Terry Gilliam,United Kingdom,16723,6.1,45,61,100,758650,1977 British film by Terry Gilliam,"Jabberwocky is a 1977 British fantasy comedy film co-written and directed by Terry Gilliam. Jabberwocky stars Michael Palin as Dennis, a cooper's apprentice, who is forced through clumsy, often slapstick misfortunes to hunt a terrible dragon after the death of his father. The film's title is taken from the nonsense poem ""Jabberwocky"" from Lewis Carroll's Through the Looking-Glass (1871).",587668,
tt0076299,The Last Wave,1977,English|Italian|Aboriginal,Drama|Fantasy|Mystery,Peter Weir,Peter Weir|Tony Morphett|Petru Popescu,Australia,12007,6.9,78,85,106,3644955,1977 film by Peter Weir,"The Last Wave is a 1977 Australian mystery drama film directed and co-written by Peter Weir, starring Richard Chamberlain, Olivia Hamnett and David Gulpilil. It is about a white solicitor in Sydney whose seemingly normal life is disrupted after he takes on a murder case and discovers that he shares a strange, mystical connection with the small group of local Aboriginal people accused of the crime.",818000,1258000
tt0076686,The Serpent's Egg,1977,English|German,Drama|Mystery|Thriller,Ingmar Bergman,Ingmar Bergman,West Germany|United States,6471,6.6,20,,119,1520391,1977 film by Ingmar Bergman,"The Serpent's Egg is a 1977 drama film written and directed by Ingmar Bergman and starring David Carradine and Liv Ullmann. The story is set in 1920s Berlin and features English and German dialogue. It was Bergman's only Hollywood film. The title is taken from a line spoken by Brutus in Shakespeare's Julius Caesar: ""And therefore think him as a serpent's egg / Which hatch'd, would as his kind grow mischievous; / And kill him in the shell"". Even though the film was a critical and commercial failure upon its initial release, Bergman was reported to be happy with the film.",,
